X,Y,Z
520050.8571,5256136.163,169
520050.8571,5256712.102,180
520050.8571,5257288.041,169
520050.8571,5257863.98,195
520050.8571,5258439.918,171
520050.8571,5259015.857,104
520050.8571,5259591.796,50
520050.8571,5260167.735,69
520050.8571,5260743.673,50
520050.8571,5261319.612,43
520050.8571,5261895.551,57
520050.8571,5262471.49,38
520050.8571,5263047.429,40
520050.8571,5263623.367,97
520050.8571,5264199.306,57
520050.8571,5264775.245,23
520050.8571,5265351.184,4
520050.8571,5265927.122,0
520050.8571,5266503.061,0
520050.8571,5267079,0
520659.4898,5238858,123
520659.4898,5239433.939,245
520659.4898,5240009.878,263
520659.4898,5240585.816,252
520659.4898,5241161.755,263
520659.4898,5241737.694,284
520659.4898,5242313.633,231
520659.4898,5242889.571,287
520659.4898,5243465.51,271
520659.4898,5244041.449,219
520659.4898,5244617.388,366
520659.4898,5245193.327,444
520659.4898,5245769.265,277
520659.4898,5246345.204,359
520659.4898,5246921.143,405
520659.4898,5247497.082,488
520659.4898,5248073.02,543
520659.4898,5248648.959,629
520659.4898,5249224.898,471
520659.4898,5249800.837,560
520659.4898,5250376.776,514
520659.4898,5250952.714,552
520659.4898,5251528.653,594
520659.4898,5252104.592,546
520659.4898,5252680.531,334
520659.4898,5253256.469,342
520659.4898,5253832.408,355
520659.4898,5254408.347,186
520659.4898,5254984.286,147
520659.4898,5255560.224,110
520659.4898,5256136.163,90
520659.4898,5256712.102,107
520659.4898,5257288.041,141
520659.4898,5257863.98,84
520659.4898,5258439.918,113
520659.4898,5259015.857,76
520659.4898,5259591.796,27
520659.4898,5260167.735,13
520659.4898,5260743.673,15
520659.4898,5261319.612,24
520659.4898,5261895.551,25
520659.4898,5262471.49,18
520659.4898,5263047.429,0
520659.4898,5263623.367,11
520659.4898,5264199.306,38
520659.4898,5264775.245,9
520659.4898,5265351.184,0
520659.4898,5265927.122,0
520659.4898,5266503.061,7
520659.4898,5267079,20
521268.1224,5238858,144
521268.1224,5239433.939,242
521268.1224,5240009.878,261
521268.1224,5240585.816,175
521268.1224,5241161.755,265
521268.1224,5241737.694,168
521268.1224,5242313.633,206
521268.1224,5242889.571,220
521268.1224,5243465.51,254
521268.1224,5244041.449,131
521268.1224,5244617.388,218
521268.1224,5245193.327,302
521268.1224,5245769.265,278
521268.1224,5246345.204,254
521268.1224,5246921.143,271
521268.1224,5247497.082,340
521268.1224,5248073.02,432
521268.1224,5248648.959,450
521268.1224,5249224.898,376
521268.1224,5249800.837,399
521268.1224,5250376.776,369
521268.1224,5250952.714,402
521268.1224,5251528.653,432
521268.1224,5252104.592,368
521268.1224,5252680.531,400
521268.1224,5253256.469,202
521268.1224,5253832.408,309
521268.1224,5254408.347,218
521268.1224,5254984.286,140
521268.1224,5255560.224,137
521268.1224,5256136.163,72
521268.1224,5256712.102,73
521268.1224,5257288.041,65
521268.1224,5257863.98,65
521268.1224,5258439.918,35
521268.1224,5259015.857,37
521268.1224,5259591.796,1
521268.1224,5260167.735,14
521268.1224,5260743.673,0
521268.1224,5261319.612,8
521268.1224,5261895.551,3
521268.1224,5262471.49,8
521268.1224,5263047.429,0
521268.1224,5263623.367,0
521268.1224,5264199.306,0
521268.1224,5264775.245,0
521268.1224,5265351.184,0
521268.1224,5265927.122,0
521268.1224,5266503.061,0
521268.1224,5267079,21
521876.7551,5238858,80
521876.7551,5239433.939,134
521876.7551,5240009.878,176
521876.7551,5240585.816,109
521876.7551,5241161.755,133
521876.7551,5241737.694,100
521876.7551,5242313.633,190
521876.7551,5242889.571,177
521876.7551,5243465.51,191
521876.7551,5244041.449,130
521876.7551,5244617.388,121
521876.7551,5245193.327,165
521876.7551,5245769.265,184
521876.7551,5246345.204,277
521876.7551,5246921.143,329
521876.7551,5247497.082,369
521876.7551,5248073.02,370
521876.7551,5248648.959,352
521876.7551,5249224.898,317
521876.7551,5249800.837,289
521876.7551,5250376.776,281
521876.7551,5250952.714,298
521876.7551,5251528.653,269
521876.7551,5252104.592,249
521876.7551,5252680.531,312
521876.7551,5253256.469,294
521876.7551,5253832.408,150
521876.7551,5254408.347,139
521876.7551,5254984.286,137
521876.7551,5255560.224,77
521876.7551,5256136.163,64
521876.7551,5256712.102,45
521876.7551,5257288.041,31
521876.7551,5257863.98,19
521876.7551,5258439.918,13
521876.7551,5259015.857,4
521876.7551,5259591.796,0
521876.7551,5260167.735,0
521876.7551,5260743.673,0
521876.7551,5261319.612,0
521876.7551,5261895.551,0
521876.7551,5262471.49,14
521876.7551,5263047.429,0
521876.7551,5263623.367,2
521876.7551,5264199.306,17
521876.7551,5264775.245,26
521876.7551,5265351.184,22
521876.7551,5265927.122,20
521876.7551,5266503.061,37
521876.7551,5267079,33
522485.3878,5238858,77
522485.3878,5239433.939,80
522485.3878,5240009.878,112
522485.3878,5240585.816,93
522485.3878,5241161.755,83
522485.3878,5241737.694,140
522485.3878,5242313.633,144
522485.3878,5242889.571,107
522485.3878,5243465.51,112
522485.3878,5244041.449,113
